from.x,from.y,to.x,to.y
-79.8702556169569,40.461170011447,-79.8702593051725,40.4607696690661
-79.8694156700555,40.4507143822491,-79.8704208693202,40.451733937229
-79.870574992943,40.449662333585295,-79.8705555258374,40.4494244251269
-79.8704208693202,40.451733937229,-79.8705647136417,40.45222210676009
-79.87015846856991,40.450046833144796,-79.870574992943,40.449662333585295
-79.8697824060545,40.4503894032397,-79.8708725393131,40.4515381642645
-79.8704208693202,40.451733937229,-79.8708725393131,40.4515381642645
-79.870574992943,40.449662333585295,-79.87092367428329,40.44935803656779
-79.8708725393131,40.4515381642645,-79.87109990753109,40.4521390944198
-79.8702311527514,40.4545910917856,-79.8711446231277,40.45510397581821
-79.8736253374338,40.45249437772721,-79.8711446231277,40.45510397581821
-79.87015846856991,40.450046833144796,-79.8712998658879,40.45128268679729
-79.8708725393131,40.4515381642645,-79.8712998658879,40.45128268679729
-79.8711446231277,40.45510397581821,-79.8713800702953,40.45668989149161
-79.8733999555925,40.4562321885667,-79.8713800702953,40.45668989149161
-79.8711719472723,40.4496866446763,-79.871451231051,40.449420011137796
-79.8713800702953,40.45668989149161,-79.8714790196953,40.457092991755204
-79.870574992943,40.449662333585295,-79.8716314009482,40.45099575913761
-79.8712998658879,40.45128268679729,-79.87166001697841,40.4522911582514
-79.87221298346621,40.45807083189301,-79.871687296411,40.46005718579789
-79.87242885864451,40.4599474702653,-79.871803035947,40.4601510779099
-79.8727638120396,40.4601534317175,-79.87209974547959,40.4605268659972
-79.8722196870303,40.458597984167206,-79.87221298346621,40.45807083189301
-79.87264727858441,40.4577215219576,-79.87221298346621,40.45807083189301
-79.87242885864451,40.4599474702653,-79.8722196870303,40.458597984167206
-79.8738931065904,40.4586294575797,-79.8722196870303,40.458597984167206
-79.8727638120396,40.4601534317175,-79.87242885864451,40.4599474702653
-79.8738931065904,40.4586294575797,-79.87242885864451,40.4599474702653
-79.8741025373497,40.4577176138725,-79.87264727858441,40.4577215219576
-79.8731404319038,40.4604267560402,-79.8727638120396,40.4601534317175
-79.87092367428329,40.44935803656779,-79.87298832775559,40.4510841060646
-79.8726334356344,40.4494184940824,-79.87298832775559,40.4510841060646
-79.87328323016949,40.4603095826406,-79.8731404319038,40.4604267560402
-79.8734657692475,40.4601569973956,-79.87328323016949,40.4603095826406
-79.8741462045398,40.455552397274786,-79.8733999555925,40.4562321885667
-79.8736526884658,40.4600076563921,-79.8734657692475,40.4601569973956
-79.87418998281359,40.4545444659121,-79.87361356793241,40.455075483509496
-79.87298832775559,40.4510841060646,-79.8736253374338,40.45249437772721
-79.8740922715889,40.4499870466816,-79.8736253374338,40.45249437772721
-79.87448639547891,40.459279090824396,-79.8736526884658,40.4600076563921
-79.8741025373497,40.4577176138725,-79.8738695652985,40.4579389831844
-79.8748268736925,40.4577181155985,-79.8738931065904,40.4586294575797
-79.8752086310162,40.4586537594135,-79.8738931065904,40.4586294575797
-79.8742213576865,40.449570125284,-79.8740922715889,40.4499870466816
-79.8748268736925,40.4577181155985,-79.8741025373497,40.4577176138725
-79.87418998281359,40.4545444659121,-79.8741462045398,40.455552397274786
-79.8741924469867,40.4536507957227,-79.87418998281359,40.4545444659121
-79.87433651344729,40.453188596592,-79.8741924469867,40.4536507957227
-79.8745356878646,40.4515696504904,-79.8742010927572,40.4515736554618
-79.8736253374338,40.45249437772721,-79.87433651344729,40.453188596592
-79.87484797267429,40.4589648772817,-79.87448639547891,40.459279090824396
-79.8748643367008,40.450877762828895,-79.8745356878646,40.4515696504904
-79.87621318387029,40.4515933757632,-79.8745356878646,40.4515696504904
-79.8751604675562,40.4574817663322,-79.8748268736925,40.4577181155985
-79.87499837073979,40.4588346807303,-79.87484797267429,40.4589648772817
-79.8740922715889,40.4499870466816,-79.8748643367008,40.450877762828895
-79.8752086310162,40.4586537594135,-79.87499837073979,40.4588346807303
-79.8751867415534,40.459924615271795,-79.8750646787765,40.4600175420135
-79.8753173329767,40.4598145011026,-79.8751867415534,40.459924615271795
-79.8758783636986,40.4581475464343,-79.8752086310162,40.4586537594135
-79.87565784197709,40.4595479181464,-79.8753173329767,40.4598145011026
-79.87264727858441,40.4577215219576,-79.8753320711298,40.4572665854379
-79.87600079320191,40.4527661296776,-79.8753658733456,40.453106357025106
-79.8756112919504,40.4605659151891,-79.875535086797,40.4615299201189
