"from.x","from.y","to.x","to.y","class"
-79.994033231545,40.3797725121875,-79.9928810581136,40.3786370809244,5
-79.994033231545,40.3797725121875,-79.9928810581136,40.3786370809244,5
-79.9959525089591,40.3822310530178,-79.9950613491877,40.3823463799154,1
-79.9936706920704,40.3839552184347,-79.9950761982209,40.3846962459415,3
-79.9974483108745,40.3953454957625,-79.9972991530441,40.3944819507148,5
-79.9981940565017,40.3962777164987,-79.9979881575911,40.3960320577118,3
-80.0096847882152,40.4139636773791,-80.0069334685479,40.411972855867,3
-80.0113863018024,40.4150351259468,-80.0099750997733,40.4141620792672,3
-80.0198895135336,40.4258249072459,-80.0192635818944,40.4252421997684,3
-80.0241686810616,40.4288845379861,-80.0241010031242,40.4300070431932,5
-79.994345449673,40.4508737849517,-79.992594276606,40.4555879483839,3
-79.9929472209117,40.4552404355382,-79.9923099456391,40.4554095797534,3
-79.979833939892,40.4647756106821,-79.97942123021,40.4645937635711,4
-79.9078463338854,40.484269090485,-79.9107570017796,40.4855758818875,5
-79.9162458619726,40.4869707978988,-79.91802507949,40.4873608478726,5
-79.9371556186231,40.48842923155,-79.9364899634275,40.4886546203303,5
-79.9078463338854,40.484269090485,-79.9107570017796,40.4855758818875,3
-80.0096847882152,40.4139636773791,-80.0069334685479,40.411972855867,5
-80.0095969522231,40.4141981108114,-79.9992681610306,40.4291466738305,5
-80.0095969522231,40.4141981108114,-79.9992681610306,40.4291466738305,5
-79.9564077994022,40.4351240791047,-79.9559382017702,40.4349670067122,1
-79.9628641666581,40.4356927029049,-79.9622513904278,40.4357700350497,5
-79.9725284218537,40.4370888827526,-79.9669779554227,40.435816601867,4
-79.9940991622838,40.4358731539459,-79.9934234338469,40.4356650788675,3
-79.9592027818445,40.431135859948,-79.9578169472402,40.4300216919363,1
-79.9359242542782,40.399866277981,-79.9348708627099,40.3931345795683,5
-79.9447232745249,40.4113125014538,-79.9440772046756,40.4099891732268,3
-79.9578169472402,40.4300216919363,-79.9537801038007,40.4259127094974,1
-79.9592027818445,40.431135859948,-79.9578169472402,40.4300216919363,1
-79.9328302098985,40.3898243015772,-79.9333568584801,40.3897684265683,5
-79.9359242542782,40.399866277981,-79.9348708627099,40.3931345795683,5
-79.8957050627039,40.4922365267319,-79.8936847384272,40.4919058880579,2
-79.8862857600105,40.4908741651116,-79.8846026765158,40.4907768381229,2
-80.0538479907543,40.4379395958248,-80.0525150498272,40.4364757234696,1
-80.0763633877873,40.441805127697,-80.0805267944109,40.4405461276996,1
-79.9731648588893,40.4358185174974,-79.9652637939903,40.4340356295261,3
-79.9947814578496,40.4356781864908,-79.9927549742099,40.4349170260538,1
-80.0390568549862,40.4045897794299,-80.0408154672207,40.4033271978306,3
-80.0298159393815,40.418262579036,-80.0299444733957,40.4158994069639,5
