from.x,from.y,to.x,to.y,speed,time,is.weekday
-79.9345972725653,40.4581190230101,-79.9338189014452,40.458351424128296,23.495666666666697,8,1
-79.90819172553991,40.4514869349057,-79.90633362374001,40.4508599618404,15.6457777777778,8,1
-80.03557430268191,40.4677509976448,-80.0377090779032,40.4717698844338,39.544876033057896,8,1
-79.9579610956355,40.4651823191294,-79.95667802608259,40.4654002285792,26.1202941176471,8,1
-79.92858268614481,40.462697200811,-79.92782240363181,40.462511041677296,15.2950704225352,8,1
-80.0039818989551,40.4411618846041,-80.00347020228209,40.4409731298199,9.30138888888889,8,1
-79.9387957756585,40.4438816427602,-79.9382423129348,40.44335565605321,23.1826530612245,8,1
-79.9885734086844,40.4287024904679,-79.98751778841759,40.428726113237204,12.702959183673501,8,1
-79.98981893040221,40.434480575181205,-79.97316485888929,40.435818517497395,12.7917857142857,8,1
-80.00701180659131,40.440296741002996,-80.0050212863367,40.4395985870424,12.71608,8,1
-79.98379804790059,40.387324688270205,-79.98330252538909,40.387054364528396,27.210096153846198,8,1
-79.9786844801315,40.3969661650849,-79.9781091313297,40.39696978446929,36.952521008403394,8,1
-80.0036758059675,40.4529634141981,-80.0026157622243,40.453148489408,14.761354166666699,8,1
-79.9638248676575,40.4378828569689,-79.96207097602141,40.4391314168854,18.863623853211,8,1
-79.9207120976228,40.4528937793734,-79.9196924176311,40.45302696217271,21.145843373494,8,1
-79.9387957756585,40.4438816427602,-79.9382423129348,40.44335565605321,19.086,8,1
-79.9706857360367,40.4592223983745,-79.9692683472242,40.460187930004395,10.1983333333333,8,1
-79.9886983152917,40.4307478126265,-79.98981893040221,40.434480575181205,52.969803921568605,8,1
-79.9585031032464,40.4315923489134,-79.9561660988133,40.4288591298682,48.9231111111111,8,1
-79.9265064045837,40.4279535385354,-79.91155307188941,40.4257660639259,36.3117518248175,8,1
-79.897445970603,40.425995101449296,-79.8965606534151,40.4260391502265,51.268007117437705,8,1
-80.0273293518876,40.4301995589353,-80.02428297141151,40.4291029347163,30.566007194244598,8,1
-80.0101932577667,40.4394384197127,-80.0009760641647,40.4363019000935,29.5947346938776,8,1
-80.015877744718,40.4488935489873,-80.0134910270279,40.448395428958996,47.30522321428571,8,1
-79.994345449673,40.4508737849517,-79.992594276606,40.4555879483839,47.3316666666667,8,1
-79.9946287411732,40.4507727787591,-79.99132521321009,40.4477761815735,52.84564516129029,8,1
-80.009642218588,40.445800278728704,-80.0068155470256,40.4486238853136,23.963636363636397,8,1
-80.0068155470256,40.4486238853136,-80.00402863948321,40.4491018032409,42.80379310344829,8,1
-79.99367069207041,40.3839552184347,-79.9950761982209,40.3846962459415,16.3502666666667,8,1
-79.9974483108745,40.3953454957625,-79.9972991530441,40.3944819507148,30.0433870967742,8,1
-80.0113863018024,40.4150351259468,-80.00997509977329,40.4141620792672,21.466578947368397,8,1
-80.0241686810616,40.4288845379861,-80.0241010031242,40.4300070431932,36.6347596153846,8,1
-79.994345449673,40.4508737849517,-79.992594276606,40.4555879483839,36.677366255144,8,1
-79.9078463338854,40.484269090485,-79.9107570017796,40.4855758818875,21.706583850931697,8,1
-80.00959695222309,40.4141981108114,-79.9992681610306,40.4291466738305,27.2366037735849,8,1
-79.9592027818445,40.431135859948,-79.9578169472402,40.4300216919363,14.949931972789098,8,1
-79.9564077994022,40.4351240791047,-79.9559382017702,40.434967006712206,14.707631578947401,8,1
