Country Name,Country Code,Indicator Name,Indicator Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,612518907.2,669722540.4,721142960.4,812543073.8,908874535.9,994044552.9,1084059818,908874535.9,964615702.6,1017171717,1095454545,1257615645,1263018491,2100249875,2404697651,2732083958,3227436282,3758220890,4421343606,4537487843,5891606678,5594118401,5422656262,6169481549,5377277407,3959379488,4347956299,4597615563,4715978868,4867582620,5343259389,5643864408,5734703452,5981218997,6715164551,7396952081,7925733786,8497499333,8285061618,8397858185,8141513292,7905485216,8082396526,8773451739,9549196256,11451845341,13120183157,16674324634,17339992165,19649631308,23948541156,27035110130,30601157742,
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,15236854859,19926293839,23021477292,21211892260,21790035102,27062716511,30591834045,33875881906,37458898265,42327600116,49204456712,58539008796,79279057736,1.05136E+11,1.23709E+11,1.52678E+11,1.76171E+11,2.00801E+11,2.24969E+11,2.35025E+11,2.63561E+11,2.81682E+11,2.03305E+11,2.09024E+11,2.22943E+11,2.68137E+11,2.94084E+11,3.30397E+11,4.25595E+11,4.61952E+11,4.07338E+11,3.90567E+11,4.383E+11,5.46233E+11,7.68951E+11,8.39683E+11,8.712E+11,8.43827E+11,5.86863E+11,6.44702E+11,5.53582E+11,5.04221E+11,5.52469E+11,6.6376E+11,8.82186E+11,1.08892E+12,1.36682E+12,1.65351E+12,1.62019E+12,2.14307E+12,2.47669E+12,2.24878E+12,2.24567E+12,
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,93216432.38,96949756.33,109083059.2,108383060.9,114683045.1,123608022.7,137103729.9,137300000,154400000,181500000,204010328.9,233383640,284759098.1,340492903.7,402158285.8,435871861.9,495116619.3,552876225.3,670312672.3,860438453.3,946949724.9,989409791.7,1050464828,1144931026,1198180246,1315567053,1448665028,1540893883,1703922715,2023318164,2007109743,1950900000,2046188943,2151295089,2261969772,2411872814,2549296365,2874459181,3012031889,3119500000,3112350000,3168600000,3271200000,3509700000,3891500000,4314050000,4513250000,4541550000,4592650000,4433700000,4368900000,4224850000,,
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,,,,,114040245.7,132758395.4,139030445.6,160819286.6,161211289.7,179080099.3,197523179.2,270818555.8,433092003.6,1073577086,1168304306,1423061357,1732721161,1941600704,2803780006,4928824958,4366213850,4264252336,3844723142,3782523088,3523612563,2358592817,2754463438,2690717551,2985467990,3520551724,3701667053,4183548189,4105706152,4087337960,4734020037,5115602837,5197332974,4051147228,4600000000,6001153318,5601090584,5843329102,6557333067,7872333197,9531402830,11470703002,12247694247,14393099069,10732366286,12369708859,16691360399,16953952625,16111135789,
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,135653289.9,146391643.1,148934332,165585938.1,169264987.2,172217500.8,201375722.7,253182456.7,283855835.9,275949887.8,299787274.8,250045841,250794358.5,235239569.3,270801565.2,303053461.9,316420860.2,365964500.2,376955086.1,419035810.8,439158233.5,476360697,537050133.3,622026106.8,702682018.3,818869145.8,897672085.8,1196091806,1258193519,1264758198,1585396256,1840841618,1861157558,1883654335,
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,32902654.4,35644985.22,38091777.07,41616418.51,45788670.69,51465624.41,58642385.24,66248426.99,77361532.99,96243298.14,126954476.9,165253183.6,244124115.7,306044205.9,355168715.4,372025093.4,451624959.6,590407375.2,819870595.1,1060889705,1073812404,1014945861,1172230576,1240821849,1114783538,1392602040,1965227085,2644554882,3083822367,3790636664,3942877354,4146464587,4160129177,4259258811,4730599691,4847757704,5020265168,4790481509,5484263050,5788311645,5489646903,5438856515,7511538765,8957491785,9931223496,10126990488,10939028155,11113042238,10106837286,13746712706,15292424757,14537490553,14788476190,
Sub-Saharan Africa (IFC classification),CAA,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,123134583.7,124482774.2,129379123.8,142025078.8,150574795.3,157930018.4,163820513.7,191767441.7,188039209.9,189106529.2,201450800.2,230317882.8,271183082.2,281398705.9,378660015.8,451152460.8,507298148.3,610578631.2,700764746.9,797048197.1,694803623.9,748312391.3,658679332.6,637820670.6,864849836.8,1122265015,1200991976,1264899288,1233930279,1440711459,1377374988,1411917554,1278781259,851174357.3,1115389674,1007791127,937741512.4,967338390.4,999477458.7,914500332,931833293.8,991387865,1139754772,1270080228,1350300947,1473721521,1698125680,1985370255,1981728179,1986014759,2195599491,2169706411,1538175744,
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,40767969454,41978852041,44657169109,48882938810,53909570342,60358632035,64768831262,70759031842,77887510242,87762259510,99120804113,1.12911E+11,1.31122E+11,1.60164E+11,1.73569E+11,2.06261E+11,2.1129E+11,2.183E+11,2.42702E+11,2.73437E+11,3.05749E+11,3.13453E+11,3.40319E+11,3.53888E+11,3.6296E+11,3.75654E+11,4.29021E+11,5.06018E+11,5.63639E+11,5.92015E+11,6.08259E+11,5.90148E+11,5.74834E+11,5.75999E+11,6.02021E+11,6.2695E+11,6.51001E+11,6.31432E+11,6.74325E+11,7.39456E+11,7.32717E+11,7.52532E+11,8.87752E+11,1.01839E+12,1.16418E+12,1.3108E+12,1.45787E+12,1.54256E+12,1.37084E+12,1.61407E+12,1.77863E+12,1.82145E+12,1.82677E+12,
East Asia and the Pacific (IFC classification),CEA,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
